,Treatment,Error,Confounder,Y
0,1,0.019949664043665903,0.040992451890905,1.7609421159345708
1,1,0.06537064740615989,-0.06962819831244488,1.695742449093715
2,1,-0.06275016578353028,0.008357358829405198,1.6456071930458749
3,0,0.13699694116371444,-0.06342739499366172,0.5735695461700527
4,1,-0.09199336029182258,-0.09940360074176434,1.5086030389664131
5,0,0.03444112161377038,0.0011624931335666216,0.535603614747337
6,1,0.09158505008993345,0.06893743445390761,1.860522484543841
7,1,0.12886529539763947,0.08266442378602822,1.9115297191836675
8,1,0.05467587732484911,-0.043483003627629996,1.711192873697219
9,1,0.06539424340119035,0.03505216280523072,1.800446406206421
10,0,-0.08237315271790054,-0.22291957885256186,0.19470726842953762
11,0,-0.0004752451735797936,-0.026733341308244913,0.47279141351817533
12,1,0.058547929031653984,0.037089892491075055,1.7956378215227289
13,0,0.09929214098010612,0.18528849095325176,0.7845806319333578
14,1,-0.009463141957621005,0.06289589607202797,1.753432754114407
15,0,0.08006417295365272,-0.05505039031243756,0.5250137826412151
16,0,0.09928012011078685,-0.17899469593429485,0.420285424176492
17,0,-0.09223675031761913,-0.054801497599268764,0.3529617520831121
18,0,0.0019077998301852452,0.10966340894811637,0.6115712087783016
19,1,0.05723332615627779,0.05249229403795562,1.8097256201942333
20,1,0.06405218112907983,-0.04825391653836764,1.715798264590712
21,0,0.0038591554307763616,-0.02651658663582751,0.47734256879494885
22,1,0.05099615754703923,-0.014604948025054427,1.7363912095219847
23,0,0.16418417180005979,0.07131981946107742,0.7355039912611372
24,0,-0.050183340717095876,0.013525473864505387,0.4633421331474096
25,0,0.03925828224265932,0.056627360868269985,0.5958856431109294
26,0,-0.07783173349442424,-0.03149832874443065,0.3906699377611451
27,1,0.12251868100924923,0.1400036284167167,1.962522309425966
28,0,-0.26697897390601333,0.05085949928839532,0.28388052538238195
29,0,-0.18413076665030614,-0.027932874231987016,0.2879363591177068
30,0,-0.14525221386397347,0.02972535645954139,0.384473142595568
31,0,-0.1279117443744048,-0.06136491577476655,0.3107233398508287
32,0,-0.10316414284472814,-0.1040889759123043,0.29274688124296755
33,1,-0.11177822972368033,0.1177297369033972,1.7059515071797169
34,0,-0.05914680462390627,-0.11696385365004361,0.32388934172605016
35,1,0.12140413781552001,0.05461783349125285,1.8760219713067727
36,1,-0.11425328660581516,0.05100094623369076,1.6367476596278754
37,1,-0.058082234712813666,0.02356312792096206,1.6654808932081484
38,1,-0.08523720103837429,-0.05065920790094146,1.5641035910606842
39,1,-0.04508233896526574,-0.07697874869814324,1.577938912336591
40,1,0.023025655638501796,-0.12888230583119817,1.5941433498073037
41,1,0.09487836808769358,0.015663759419037623,1.8105421275067313
42,0,-0.09001640289386233,-0.03757257027934261,0.37241102682679506
43,0,0.18121658663689597,0.02739636894173216,0.7086129555786281
44,0,-0.09560010445475778,0.008813887229709175,0.41321378277495147
45,1,-0.06911592874512439,-0.03351038249505585,1.5973736887598198
46,1,-0.08937777109845518,0.10801368680233198,1.7186359157038769
47,1,-0.0065834115530858835,0.016600303097651453,1.7100168915445655
48,0,-0.15165499095123375,-0.006741166745329489,0.34160384230343677
49,0,-0.1462381594961358,-0.15807486018565814,0.19568698031820606
50,0,-0.033064281716310394,-0.09832655449120421,0.36860916379248543
51,1,-0.025270080985502236,0.07012928567872263,1.7448592046932203
52,1,-0.09465164776280843,0.058747808395093526,1.664096160632285
53,1,-0.17033493974925162,0.02192048788047618,1.5515855481312246
54,0,-0.012317461812458607,-0.052200271947359454,0.43548226624018194
55,1,-0.04172088302228585,0.08464379272162718,1.7429229096993413
56,0,0.035774730375251376,-0.08957253333843697,0.4462021970368144
57,0,-0.12276874774832998,-0.054333622060811715,0.3228976301908583
58,1,0.008479962090673995,-0.12309634185623411,1.5853836202344398
59,0,0.1726440197782487,0.04988224314372417,0.7225262629219729
60,0,0.13943934506453962,-0.018215781132529953,0.6212235639320096
61,1,-0.028755401315626972,0.05189225010355997,1.7231368487879328
62,0,-0.02385047967677907,-0.0030198740578376185,0.47312964626538334
63,1,0.04656473328385067,0.09427119874071135,1.840835932024562
