,Treatment,Selectionbias,Error,Y
0,1,2.6304306670783517,-0.025916036846963322,4.304514630231388
1,0,0.7262416346341499,0.008612936153822108,1.2348545707879721
2,1,2.239889611937943,-0.1264505228124252,3.813439089125518
3,0,0.8752339115321934,-0.10579217460314368,1.2694417369290498
4,0,0.6681597793867694,0.012327180871175857,1.1804869602579453
5,1,-0.35585340705946567,0.14597817731555204,1.4901247702560863
6,1,1.4071676851636747,0.10893642256308758,3.2161041077267623
7,1,1.4969801005003944,-0.055228317914210394,3.141751782586184
8,1,-0.5773565280830681,0.09900581682105522,1.221649288737987
9,1,1.2684208827552268,-0.08307795341929183,2.885342929335935
10,1,2.1423321956548462,-0.06260783726280962,3.7797243583920364
11,1,0.22769655938123978,0.04588164022662106,1.9735781996078607
12,0,1.4037766501580737,0.08292813389301212,1.9867047840510859
13,1,1.4879124846160496,-0.02950374802713266,3.1584087365889166
14,0,0.4306255432177776,-0.11119298762612682,0.8194325555916507
15,0,0.7329621916525758,0.021293286246445213,1.254255477899021
16,1,3.158935930455007,-0.06541080998818202,4.793525120466825
17,1,1.1651508370157588,0.01652534228155279,2.881676179297312
18,1,2.693616029589346,-0.02343559348911084,4.3701804361002345
19,1,0.6958597140505108,0.09297887222469219,2.488838586275203
20,1,-1.3599999108604799,-0.057523675523900177,0.28247641361561987
21,0,1.314656437843266,-0.02361236892585111,1.7910440689174147
22,1,2.2329875826536347,0.029406502167555276,3.96239408482119
23,0,0.7094870867438932,-0.0945791806255448,1.1149079061183484
24,1,1.6263666019914689,-0.07247572310864585,3.253890878882823
25,1,1.046903086348442,0.09576118698440382,2.8426642733328458
26,1,0.25228816547789756,0.0607222187494558,2.013010384227353
27,0,1.4001676693067662,0.16473546363811298,2.0649031329448793
28,0,0.30569524976553886,0.09283284804052393,0.8985280978060628
29,0,2.324057399653249,0.0732430357112616,2.8973004353645107
30,0,0.9429362207527311,-0.07719614072697005,1.365740080025761
31,0,-0.6368928749634981,-0.04594335449310858,-0.18283622945660669
32,1,0.751827640896208,0.006197749604321049,2.458025390500529
33,1,-0.5199522115182462,-0.15905481390483203,1.0209929745769217
34,0,-0.21154953147933075,0.04209103945448396,0.3305415079751532
35,0,1.981297194605636,0.05648291028220161,2.5377801048878377
36,1,2.6954001184868908,-0.025328113629878454,4.370072004857012
37,1,1.5823572616033894,0.10120817730321774,3.383565438906607
38,1,0.7965156145729713,-0.0075943830731581285,2.488921231499813
39,0,0.07429875355228277,-0.1770670005638083,0.39723175298847446
40,0,0.7278976341531851,-0.051256521153492024,1.176641112999693
41,0,1.317841879222423,0.06282137314731139,1.8806632523697342
42,0,0.7378574313553008,-0.14634131909649123,1.0915161122588095
43,0,1.715994496069077,-0.11616946867212839,2.0998250273969483
44,0,1.8120582107132366,-0.06727990216814643,2.24477830854509
45,0,-0.16188263080171006,-0.2061771258334364,0.13194024336485355
46,1,0.5335371900792797,-0.11084663289691608,2.1226905571823633
47,0,-0.3309595658492668,0.08351352400899412,0.25255395815972737
48,1,1.3110929398072002,-0.10752109945269253,2.9035718403545077
49,1,2.3211547725260906,-0.041591556344541675,3.979563216181549
50,0,0.7474299306748002,0.05834667786509071,1.305776608539891
51,0,2.9703562699429344,-0.08462576817811868,3.3857305017648156
52,1,1.3658442966776863,-0.027269295541422902,3.0385750011362633
53,1,0.0629003951859688,0.039020303102665035,1.8019206982886338
54,0,0.7181647759543345,0.03899216498544669,1.2571569409397811
55,0,0.8594579153834067,0.05349898164154324,1.41295689702495
56,1,2.0118240998707733,-0.10194527252028066,3.6098788273504923
57,0,0.4701532895940107,0.040899157595510806,1.0110524471895215
58,1,2.664543274101298,0.04035739151021987,4.404900665611518
59,1,1.111013597931565,0.014768522111915995,2.8257821200434807
60,1,0.08250368027121113,-0.10294906683701506,1.679554613434196
