,Treatment,Error,Y
0,1,-0.20531966582804514,1.4946803341719548
1,0,-0.143972129040559,0.356027870959441
2,1,0.11053551861069572,1.8105355186106957
3,0,-0.08909478109092174,0.4109052189090783
4,0,-0.17031645100260012,0.3296835489973999
5,0,0.045437535769301526,0.5454375357693015
6,1,0.09789791000227444,1.7978979100022743
7,0,0.02926130740744914,0.5292613074074491
8,0,0.147888403064399,0.647888403064399
9,0,0.12214928046140426,0.6221492804614043
10,1,-0.14951192722514225,1.5504880727748578
11,0,-0.04228418033161037,0.45771581966838965
12,0,0.15964278210672786,0.6596427821067279
13,0,0.17369231701202562,0.6736923170120256
14,0,0.04138967816095367,0.5413896781609536
15,1,0.028814053578900135,1.7288140535789
16,0,-0.0346650959843067,0.46533490401569333
17,1,0.045603012513673186,1.7456030125136732
18,1,0.02096237173468718,1.7209623717346871
19,0,-0.1985277928343542,0.3014722071656458
20,1,-0.010202047173853424,1.6897979528261464
21,1,-0.02238980255949352,1.6776101974405064
22,1,0.15379236945162614,1.853792369451626
23,0,0.03624569801530935,0.5362456980153093
24,1,0.04441802303904521,1.7444180230390451
25,1,-0.05315023321923101,1.6468497667807689
26,0,0.2012359484566711,0.701235948456671
27,0,-0.0728681472359103,0.4271318527640897
28,0,-0.20711389608630235,0.2928861039136976
29,0,-0.030338290089383914,0.46966170991061607
30,1,0.00020365721679476117,1.7002036572167947
31,0,-0.09125460134338811,0.40874539865661186
32,0,0.16632477612880592,0.6663247761288059
33,0,-0.041366417601596976,0.458633582398403
34,1,0.018128931108848032,1.718128931108848
35,0,0.06344223340060977,0.5634422334006097
36,1,0.0467288455686637,1.7467288455686636
37,1,-0.005367736393661295,1.6946322636063387
38,1,0.008999216621704213,1.708999216621704
39,1,0.14772517138436667,1.8477251713843665
40,1,-0.030877153883561964,1.669122846116438
41,0,0.03669089854837553,0.5366908985483755
42,0,0.13318218377225916,0.6331821837722591
43,1,-0.02090578862272491,1.679094211377275
44,1,-0.0770210814108771,1.6229789185891228
45,1,-0.09014469252709584,1.609855307472904
46,1,-0.06111067626489541,1.6388893237351045
47,1,-0.10557979324504124,1.5944202067549587
48,0,-0.07418453189768508,0.4258154681023149
49,1,0.00805569400576004,1.70805569400576
50,0,0.008849669765014882,0.5088496697650149
51,1,0.12193645833921665,1.8219364583392166
52,0,0.0640568722788799,0.5640568722788799
53,1,0.02656517833701416,1.7265651783370142
54,1,-0.08026253820883592,1.619737461791164
55,0,0.012774402445595976,0.512774402445596
56,0,0.02455506794607222,0.5245550679460722
57,0,-0.027196002837616657,0.47280399716238336
58,1,0.005128837038577324,1.7051288370385773
59,0,0.12877625318303612,0.6287762531830361
60,1,0.041284349100166345,1.7412843491001664
61,0,-0.007804852025789709,0.49219514797421027
62,0,0.07019101792194214,0.5701910179219422
63,1,-0.13699507142174971,1.5630049285782501
64,0,0.028161990885672995,0.528161990885673
65,1,-0.1600497090368815,1.5399502909631184
66,0,-0.12042883444507427,0.37957116555492576
67,1,-0.02248243898673831,1.6775175610132615
68,0,0.02462647716579292,0.5246264771657929
69,0,0.02814351808138394,0.5281435180813839
70,1,0.1000776063988514,1.8000776063988513
71,0,-0.0981806903677567,0.4018193096322433
72,1,0.1691837436979252,1.869183743697925
73,1,0.024551834861627663,1.7245518348616276
74,1,-0.07006622275335771,1.6299337772466422
75,1,0.0062784048466415585,1.7062784048466415
76,1,0.0023367340058942083,1.7023367340058941
77,1,0.09494771574679045,1.7949477157467904
78,0,-0.044943840058513276,0.45505615994148674
79,0,-0.029742114790025517,0.47025788520997447
80,0,0.055179189525607214,0.5551791895256072
81,0,0.0521752146471708,0.5521752146471708
82,0,0.06797032430319482,0.5679703243031948
83,1,-0.11754663599907943,1.5824533640009206
84,1,-0.16848413782702176,1.531515862172978
85,0,-0.05486812876153435,0.44513187123846565
86,1,0.14501108275654329,1.8450110827565434
87,1,-0.09686611382759452,1.6031338861724054
88,0,0.010705018693925594,0.5107050186939256
89,1,-0.11262613962768796,1.587373860372312
90,1,0.062441714550348595,1.7624417145503486
91,1,0.17019925976167938,1.8701992597616792
92,0,0.13805272228723492,0.638052722287235
93,0,0.03894441614319734,0.5389444161431973
94,0,-0.12363979326693773,0.37636020673306225
95,0,0.11140659849177977,0.6114065984917798
96,1,0.03217202955204829,1.7321720295520482
97,1,0.025150914743674792,1.7251509147436748
98,1,0.07784794823878768,1.7778479482387877
99,0,-0.09650330298670824,0.40349669701329177
