,Treatment,Covariate,Error,Y
0,1,-0.05307700186118879,0.004529207428531181,1.6514522055673424
1,1,-0.046135777115233804,-0.02680637314445148,1.6270578497403148
2,1,-0.02045027308314302,0.029579016309581364,1.7091287432264382
3,1,0.05143205744915684,-0.042300234708586404,1.7091318227405705
4,1,-0.014425909847651167,-0.0767593264680049,1.608814763684344
5,0,0.10612978998277876,0.06655299171992231,0.6726827817027011
6,1,-0.013298366616745935,0.03872285061336449,1.7254244839966186
7,1,-0.08366055536564698,-0.14827098839798702,1.4680684562363657
8,1,-0.04736540709402586,-0.023350844794242757,1.6292837481117313
9,1,0.034623132148128434,-0.02824726677402736,1.706375865374101
10,0,0.06037012817559537,0.1300082609461837,0.6903783891217791
11,1,0.05797151527697788,0.038409075419016725,1.7963805906959947
12,0,-0.3555023263768803,0.05497819833803852,0.19947587196115824
13,0,0.049919337685435626,-0.07037279536469702,0.4795465423207386
14,1,0.021707120751275864,0.07915121193431421,1.80085833268559
15,1,0.020339330760391145,-0.051189492293441385,1.6691498384669496
16,0,0.045988803342569044,-0.04456013682115224,0.5014286665214168
17,1,0.009994460596650368,0.12584522193077327,1.8358396825274237
18,0,-0.09145810579894288,-0.07783353871051146,0.33070835549054567
19,0,0.030765549045889986,0.02003538535362286,0.5508009343995128
20,1,-0.06340649020562564,-0.03947814684551382,1.5971153629488604
21,0,0.01683733749016308,-0.0374957357338503,0.47934160175631274
22,0,-0.07352526330388777,0.061331112491904594,0.48780584918801684
23,0,0.08729051760102806,-0.12772306544220943,0.45956745215881856
24,1,0.044151690981893074,0.12093979002837439,1.8650914810102674
25,0,-0.010665435730801283,-0.10510261065158436,0.3842319536176143
26,0,0.023070356791905073,-0.0878208077072121,0.43524954908469293
27,0,0.09556479016706591,-0.10641554549968375,0.48914924466738213
28,0,0.0805535776267719,0.1330267205769578,0.7135802982037296
29,1,-0.013998076517489752,0.19012291504902282,1.876124838531533
30,1,-0.05197767983679369,-0.050202283326403765,1.5978200368368025
31,1,-0.018999379288050646,0.0674644875905503,1.7484651083024996
32,1,0.013607710868534656,0.06275603093301642,1.776363741801551
33,1,0.11623759782249395,-0.10321559516829067,1.7130220026542031
34,0,0.026369805694034167,0.04428167017513813,0.5706514758691723
35,1,-0.16341850739908612,0.07396852194564184,1.6105500145465557
36,1,-0.13082252706917402,-0.0285143774679506,1.5406630954628753
37,0,-0.052544481617430805,-0.046848954899444115,0.40060656348312507
38,1,-0.008460520383904218,0.05397422774001523,1.7455137073561109
39,0,0.005840582742701225,-0.001823433346812856,0.5040171493958884
40,1,-0.0952227619931052,-0.016668487913325963,1.5881087500935689
41,0,0.0065012907492276815,-0.011976337557957892,0.49452495319126977
42,0,-0.08043710327908507,0.07839468513149936,0.49795758185241434
43,0,-0.07509654081647579,-0.03173211983175647,0.39317133935176773
44,1,-0.09195127999892112,-0.054465431375514996,1.5535832886255638
45,1,-0.03479179868697017,0.04105097055192644,1.7062591718649562
46,0,-0.05506276601026715,-0.10225267298511297,0.34268456100461986
47,0,-0.022257053316151038,0.03002242459696379,0.5077653712808128
48,0,-0.06056838002716289,-0.1366334458669912,0.30279817410584586
49,0,-0.11100699362810032,0.042962790183241756,0.4319557965551415
50,1,-0.048128465116843135,0.027882625555061526,1.6797541604382182
51,0,0.009412466695991615,0.04364479928201577,0.5530572659780074
52,1,-0.0037072365852372016,-0.13408419612256572,1.5622085672921968
53,1,0.2059296684307887,-0.11179467319623795,1.7941349952345507
54,1,0.00837330825281023,0.003456270515111764,1.7118295787679219
55,1,0.08888635608923671,-0.07251436951256617,1.7163719865766707
56,1,0.12119701108519522,-0.11554623470237901,1.7056507763828161
57,0,0.05473092003919471,0.12145615971561684,0.6761870797548115
58,1,-0.1315104528631036,0.18495113130149388,1.7534406784383902
59,0,0.0854508469329558,-0.05897284166251814,0.5264780052704376
60,0,0.1764132330588591,-0.21678084993635782,0.4596323831225012
61,0,-0.17590568510844962,0.013326579430237462,0.33742089432178785
62,1,-0.05914010290010464,-0.06619471786054326,1.574665179239352
63,0,-0.14885911587610814,0.027128512441005684,0.37826939656489755
64,0,-0.09019664995997566,0.028556033381258783,0.4383593834212831
65,0,0.08634301387245234,0.06289123926879094,0.6492342531412433
66,1,-0.0016837772788410438,-0.012799128987429943,1.6855170937337292
67,0,0.06945557146692885,0.08415344910697348,0.6536090205739022
68,0,-0.02360815168141523,0.027749778863163876,0.5041416271817487
69,1,0.028898595056204686,-0.03330763013343107,1.6955909649227736
70,1,0.1323229718134174,-0.11132496989466877,1.7209980019187485
